Cleanup status,Level,Value
With cleanup,Low,705209378
Without cleanup,Low,489883908
Benefit of cleanup,Low,215325469
With cleanup,Mid,1416705140
Without cleanup,Mid,879715684
Benefit of cleanup,Mid,536989457
With cleanup,High,2128200903
Without cleanup,High,1269547459
Benefit of cleanup,High,858653444
